id,customer_id,product_id,activation_date,termination_date,status,distribution
93,8768,7,2019-12-03,2019-12-06,inactive,phyzical
94,1430,8,2011-12-23,2012-09-09,inactive,web
95,5566,19,2020-06-20,2021-09-03,inactive,web
96,5566,18,2021-05-08,----------,active,web
97,972,10,2022-11-15,----------,active,phyzical
98,972,12,2022-12-19,----------,active,web
99,972,10,2022-02-21,2022-02-26,inactive,phyzical
100,972,11,2022-02-23,2022-02-26,inactive,web
101,9291,18,2009-01-02,2013-08-29,inactive,web
102,9291,5,2017-01-02,2017-03-05,inactive,phyzical
103,9291,7,2017-01-04,2017-03-02,inactive,phyzical
104,8322,14,2021-01-13,----------,active,web
105,8322,15,2021-04-14,2021-06-17,inactive,web
106,3807,1,2016-04-23,2018-09-12,inactive,web
107,5560,3,2015-02-16,2019-04-14,inactive,web
108,5560,19,2012-06-21,2014-07-26,inactive,phyzical
109,6964,10,2008-12-29,2011-09-05,inactive,phyzical
110,6964,13,2010-08-23,2011-05-20,inactive,web
111,6964,9,2017-05-05,2020-10-28,inactive,web
112,4092,4,2002-01-17,2002-09-09,inactive,web
113,4092,16,2002-02-20,2003-01-12,inactive,phyzical
114,588,19,2022-10-29,----------,active,phyzical
115,588,20,2022-10-30,----------,active,web
116,3443,1,1997-10-21,1997-11-13,inactive,web
117,3443,4,1997-11-26,1998-07-30,inactive,phyzical
118,5650,14,2021-11-11,2021-12-05,inactive,web
119,5650,15,2021-12-03,2021-12-03,inactive,phyzical
120,5650,17,2022-06-25,----------,active,web
121,8031,4,2019-02-28,2019-08-18,inactive,phyzical
122,4045,18,2019-05-31,----------,active,phyzical
123,8410,18,2010-01-23,2013-03-31,inactive,web
124,8410,10,2012-02-01,2013-07-10,inactive,web
125,2285,9,2019-10-10,2019-10-23,inactive,web
126,2285,3,2016-01-23,2020-10-07,inactive,web
127,871,9,2020-07-28,----------,active,phyzical
128,4739,5,2022-08-10,----------,active,phyzical
129,4739,7,2022-09-28,----------,active,phyzical
130,4739,19,2003-06-17,2005-06-03,inactive,web
131,2767,1,2003-12-31,2004-05-20,inactive,web
132,2767,2,2004-05-05,2004-05-15,inactive,phyzical
133,2767,10,2003-12-31,2003-12-31,inactive,web
134,2982,5,2021-12-16,----------,active,phyzical
135,2982,7,2022-05-07,----------,active,phyzical
136,2982,17,2020-07-25,----------,active,phyzical
137,7709,14,2019-05-20,2020-08-17,inactive,web
138,2414,8,2012-06-16,2012-06-28,inactive,web
139,2414,8,2012-12-26,2012-12-28,inactive,web
140,5642,10,2022-10-10,----------,active,phyzical
141,5642,18,2022-11-10,----------,active,phyzical
142,9797,3,2021-08-29,2021-12-19,inactive,web
143,4307,16,2014-10-21,2017-08-09,inactive,web
144,4113,5,2021-03-11,2021-09-07,inactive,web
145,4113,6,2021-07-25,2021-08-09,inactive,web
146,4113,1,2021-09-13,2021-11-08,inactive,web
147,8366,18,2021-12-24,----------,active,web
148,8366,10,2022-12-13,----------,active,phyzical
149,3770,5,2022-05-17,----------,active,web
150,3770,1,2022-03-24,----------,active,phyzical
151,7188,5,2017-09-27,2018-08-02,inactive,web
152,7188,6,2017-10-06,2018-03-21,inactive,web
153,7188,4,2014-04-07,2018-08-11,inactive,web
154,7557,17,2022-08-08,----------,active,web
155,1404,17,2020-06-06,----------,active,web
156,1404,8,2017-10-29,2019-04-02,inactive,web
157,1427,19,2022-05-28,----------,active,phyzical
158,1427,20,2022-06-16,----------,active,phyzical
159,1427,16,2019-11-08,2019-12-17,inactive,phyzical
160,827,5,2020-12-24,2021-05-07,inactive,web
161,827,7,2020-12-24,2021-05-06,inactive,phyzical
162,5515,14,2020-10-13,----------,active,web
163,5515,15,2020-12-13,----------,active,phyzical
164,5515,18,2020-12-06,2020-12-29,inactive,phyzical
165,5638,8,2022-07-22,----------,active,web
166,5638,19,2022-07-14,----------,active,web
167,5638,20,2022-09-04,----------,active,web
168,647,17,2013-01-07,2013-05-08,inactive,phyzical
169,647,14,2012-12-31,2012-12-31,inactive,phyzical
170,647,15,2012-12-31,2012-12-31,inactive,web
171,2089,16,2015-12-05,2017-10-30,inactive,web
172,7711,1,2018-03-01,2021-04-16,inactive,web
173,8469,14,2016-12-31,2016-12-31,inactive,phyzical
174,8469,15,2016-12-31,2016-12-31,inactive,phyzical
175,8469,1,2016-09-22,2016-11-09,inactive,phyzical
176,376,10,2019-12-21,----------,active,web
177,376,13,2022-04-13,----------,active,web
178,376,9,2019-12-29,2020-09-26,inactive,web
179,640,4,2011-03-05,2014-06-19,inactive,phyzical
180,640,4,2012-06-20,2015-03-19,inactive,web
181,7452,4,2019-08-30,2021-05-23,inactive,web
182,7452,1,2019-12-19,2020-03-10,inactive,phyzical
183,1009,19,2021-04-06,----------,active,web
184,1009,20,2022-04-01,----------,active,web
185,3658,8,2022-02-08,----------,active,web
186,3658,10,2021-03-17,----------,active,web
187,5123,14,2022-03-12,----------,active,web
188,3276,10,2009-09-08,2012-08-19,inactive,phyzical
189,3276,13,2009-10-21,2010-10-22,inactive,phyzical
190,1647,9,2016-12-06,2020-10-12,inactive,web
191,1647,9,2018-03-18,----------,active,phyzical
192,6577,3,2021-12-25,2021-12-31,inactive,phyzical
193,4240,5,2014-06-25,2018-09-25,inactive,phyzical
194,4460,14,2021-03-13,----------,active,web
195,4460,3,2019-11-27,2020-12-11,inactive,phyzical
196,9112,10,2015-11-05,2016-09-18,inactive,web
197,9112,12,2016-01-25,2016-05-19,inactive,phyzical
198,9112,14,2016-06-05,2019-12-01,inactive,web
199,3281,10,2010-03-16,2010-11-08,inactive,phyzical
200,3281,10,2006-03-29,2006-08-06,inactive,phyzical
201,3281,12,2006-04-20,2006-07-12,inactive,web
202,12,19,2020-06-04,2021-02-24,inactive,web
203,12,20,2021-01-03,2021-02-13,inactive,phyzical
204,12,16,2020-08-15,2020-12-22,inactive,phyzical
205,8533,1,2022-02-28,----------,active,web
206,8533,2,2022-08-27,----------,active,phyzical
207,8533,5,2022-11-23,----------,active,web
208,9455,10,2022-02-10,----------,active,web
209,9455,11,2022-07-31,----------,active,web
210,9455,10,2022-06-23,----------,active,web
211,9455,13,2022-07-24,----------,active,web
212,8501,14,2014-02-26,2016-11-17,inactive,web
213,8501,15,2014-04-28,2015-12-12,inactive,phyzical
214,8501,10,2016-05-30,2016-08-02,inactive,web
215,8501,11,2016-07-26,2016-08-02,inactive,web
216,7758,14,2017-12-31,2021-03-16,inactive,web
217,3800,18,2017-12-11,2017-12-18,inactive,phyzical
218,173,10,2010-01-01,2010-04-01,inactive,web
219,7985,19,2012-12-18,2014-02-27,inactive,web
220,5825,5,2012-07-08,2012-12-08,inactive,web
221,5825,7,2012-08-19,2012-11-05,inactive,phyzical
222,4902,1,2011-12-03,2011-12-27,inactive,web
223,4902,2,2011-12-03,2011-12-18,inactive,web
224,4902,10,2021-06-19,----------,active,web
225,3799,10,2016-06-22,2018-03-15,inactive,phyzical
226,6410,16,2018-10-04,2018-10-06,inactive,web
227,502,3,2021-07-03,----------,active,web
228,502,4,2019-12-11,2019-12-22,inactive,web
229,9168,9,2000-07-10,2002-07-19,inactive,web
230,5291,9,2020-10-12,----------,active,phyzical
231,5291,10,2022-01-16,----------,active,phyzical
232,7642,10,2006-01-12,2006-01-17,inactive,phyzical
233,7642,19,2006-01-13,2006-01-14,inactive,phyzical
234,7642,20,2006-01-14,2006-01-14,inactive,web
235,6960,9,2019-07-01,2021-02-12,inactive,phyzical
236,6960,1,2017-11-30,2021-09-17,inactive,web
237,6960,2,2019-09-28,2019-11-10,inactive,phyzical
238,8685,5,2022-03-23,----------,active,web
239,8685,5,2017-10-27,2020-08-15,inactive,phyzical
240,5733,14,2022-06-01,----------,active,phyzical
241,5733,15,2022-08-06,----------,active,phyzical
242,2830,1,2017-07-23,2020-07-22,inactive,phyzical
243,3121,14,2022-01-02,2022-02-08,inactive,web
244,3121,5,2021-01-11,----------,active,web
245,2989,10,2021-01-12,2021-02-24,inactive,web
246,2989,13,2021-01-29,2021-02-24,inactive,phyzical
247,5898,5,2019-10-31,2021-02-03,inactive,web
248,5898,1,2013-08-02,2016-07-20,inactive,web
249,5898,2,2016-06-17,2016-06-21,inactive,web
250,860,10,2017-01-09,2017-06-09,inactive,web
251,860,13,2017-06-03,2017-06-03,inactive,web
252,860,18,2015-12-15,2016-08-02,inactive,web
253,7585,14,2022-03-03,----------,active,phyzical
254,7585,1,2020-08-14,2021-08-18,inactive,web
255,7585,2,2021-04-17,2021-08-08,inactive,web
256,2921,19,2018-10-16,2021-10-02,inactive,phyzical
257,2921,16,2021-07-05,2021-10-16,inactive,web
258,5116,19,2022-03-15,----------,active,phyzical
259,5116,20,2022-03-17,----------,active,web
260,8251,1,2022-01-26,----------,active,web
261,6453,14,2021-11-09,2022-01-14,inactive,web
262,4378,1,2016-03-21,2020-02-13,inactive,web
263,4378,2,2018-02-06,2018-08-06,inactive,phyzical
264,5354,5,2019-10-02,2019-12-13,inactive,web
265,5354,6,2019-10-13,2019-10-14,inactive,web
266,7987,1,2018-01-08,2020-01-17,inactive,web
267,8137,14,2021-10-27,----------,active,web
268,8137,15,2022-06-20,----------,active,web
269,8137,5,2019-01-20,----------,active,phyzical
270,8137,7,2019-07-17,2021-04-09,inactive,phyzical
271,3668,19,2022-11-02,----------,active,web
272,3668,20,2022-11-20,----------,active,web
273,3000,19,2022-04-23,----------,active,web
274,3321,17,2021-12-29,----------,active,web
275,3321,5,2021-12-28,2021-12-29,inactive,web
276,3321,6,2021-12-29,2021-12-29,inactive,web
277,5197,5,2017-02-06,2020-05-17,inactive,phyzical
278,200,10,2013-08-23,2017-12-04,inactive,web
279,200,19,2016-08-13,2019-02-14,inactive,web
280,2646,17,2011-04-24,2015-09-13,inactive,web
281,1696,19,2017-12-23,2021-09-25,inactive,web
282,1696,20,2019-04-27,2021-03-14,inactive,web
283,1696,3,2017-12-16,2017-12-21,inactive,web
284,3138,16,2016-12-22,2020-07-07,inactive,web
285,6844,10,2020-12-11,----------,active,web
286,6844,13,2022-04-12,----------,active,phyzical
287,6844,10,2020-12-24,----------,active,web
288,6844,12,2021-06-14,2022-02-15,inactive,phyzical
289,932,17,2020-09-26,2021-01-27,inactive,web
290,1522,10,2019-07-23,2019-08-25,inactive,web
291,1522,12,2019-08-15,2019-08-18,inactive,phyzical
292,1522,19,2013-09-09,2014-01-16,inactive,web
293,1522,20,2013-10-19,2014-01-12,inactive,phyzical
294,3777,14,2022-07-23,----------,active,web
295,7430,10,2021-02-21,2021-07-18,inactive,phyzical
296,7430,13,2021-05-12,2021-07-17,inactive,phyzical
297,7430,5,2020-11-21,2020-11-27,inactive,web
298,7430,7,2020-11-23,2020-11-24,inactive,web
299,2648,1,2022-08-23,----------,active,web
300,2648,2,2022-08-27,----------,active,web
301,2648,1,2021-12-22,----------,active,phyzical
302,2648,2,2021-12-25,----------,active,web
303,5671,5,2019-02-08,----------,active,web
304,5671,6,2022-12-15,----------,active,web
305,5671,5,2014-03-18,2014-11-12,inactive,web
306,2812,3,2015-03-25,2016-04-29,inactive,web
307,7730,1,2021-10-25,----------,active,web
308,279,1,1996-10-04,1997-07-31,inactive,web
309,279,2,1996-12-09,1996-12-28,inactive,phyzical
310,279,8,1996-09-13,1998-06-25,inactive,web
311,4353,16,2015-11-15,2015-12-17,inactive,web
312,4353,4,2015-12-29,2017-10-19,inactive,web
313,6800,14,2019-04-15,----------,active,phyzical
314,6800,15,2019-06-22,2019-07-03,inactive,web
315,4692,10,2022-08-28,----------,active,web
316,4692,11,2022-10-05,----------,active,web
317,4692,4,2019-06-18,2020-08-15,inactive,web
318,8162,17,2022-11-17,----------,active,web
319,3383,10,2012-11-01,2013-09-05,inactive,web
320,3383,12,2012-11-14,2013-06-10,inactive,web
321,3383,3,2013-03-30,2014-02-10,inactive,web
322,2315,19,2021-12-08,----------,active,phyzical
323,2315,10,2021-10-21,----------,active,web
324,8845,5,2022-12-10,----------,active,web
325,8845,6,2022-12-10,----------,active,web
326,8845,17,2022-02-24,----------,active,phyzical
327,9290,10,2022-06-22,----------,active,phyzical
328,9290,12,2022-06-25,----------,active,phyzical
329,7113,19,2017-11-19,2020-08-25,inactive,web
330,7113,10,2016-12-15,2020-06-10,inactive,web
331,7113,11,2016-12-18,2017-02-04,inactive,web
332,6109,5,2022-05-25,----------,active,web
333,913,10,2022-03-22,----------,active,web
334,913,13,2022-06-20,----------,active,web
335,5731,3,2018-12-20,2019-06-04,inactive,phyzical
336,3078,10,2022-06-27,----------,active,phyzical
337,9956,9,2017-12-23,2017-12-29,inactive,phyzical
338,9956,14,2014-09-11,2014-10-27,inactive,phyzical
339,4091,10,2022-12-24,----------,active,web
340,4091,13,2022-12-28,----------,active,web
341,4091,8,2022-04-04,----------,active,web
342,108,18,1999-02-16,1999-02-24,inactive,web
343,501,19,2018-02-12,2019-02-14,inactive,web
344,501,20,2018-03-26,2018-06-05,inactive,phyzical
345,8163,5,2022-05-16,----------,active,web
346,8163,6,2022-09-25,----------,active,web
347,9147,19,2020-08-22,2021-03-07,inactive,web
348,9147,16,2021-09-24,2021-12-13,inactive,web
349,3774,1,2022-09-23,----------,active,web
350,8891,17,2012-06-02,2016-04-29,inactive,phyzical
351,5952,17,2016-03-13,2016-11-01,inactive,web
352,5716,8,2022-06-22,----------,active,phyzical
353,6398,10,2010-04-09,2010-05-20,inactive,web
354,6398,11,2010-04-30,2010-05-04,inactive,phyzical
355,6398,8,2004-03-10,2006-04-30,inactive,phyzical
356,5266,5,2017-11-25,2018-08-25,inactive,web
357,5266,6,2018-01-02,2018-04-27,inactive,web
358,7065,10,2021-06-06,----------,active,phyzical
359,7065,13,2021-12-22,----------,active,web
360,4997,5,2019-03-31,----------,active,web
361,4452,19,2015-06-24,2015-11-16,inactive,phyzical
362,4452,5,2010-01-11,2014-09-09,inactive,phyzical
363,4452,7,2010-12-21,2013-05-20,inactive,web
364,5819,5,2000-04-19,2000-04-27,inactive,web
365,5819,7,2000-04-25,2000-04-26,inactive,web
366,5819,1,1998-10-02,1998-12-06,inactive,web
367,5819,2,1998-10-22,1998-10-30,inactive,phyzical
368,1790,10,2018-04-14,----------,active,web
369,1790,11,2022-04-02,----------,active,web
370,1790,14,2013-02-16,2013-05-13,inactive,web
371,2940,18,2022-02-20,----------,active,web
372,3285,10,2012-01-14,2012-01-14,inactive,phyzical
373,259,10,2002-09-07,2004-11-02,inactive,web
374,259,11,2004-11-01,2004-11-02,inactive,web
375,259,1,2001-08-17,2002-05-09,inactive,web
376,259,2,2001-08-22,2001-09-10,inactive,phyzical
377,4087,8,2016-01-14,2016-11-26,inactive,phyzical
378,2344,10,2022-02-02,----------,active,web
379,6138,5,2018-06-13,----------,active,web
380,6138,8,2021-05-02,----------,active,web
381,8747,14,2022-01-08,----------,active,web
382,8747,15,2022-03-25,----------,active,phyzical
383,3012,1,2018-03-06,----------,active,web
384,3012,2,2018-08-27,2019-09-17,inactive,web
385,4387,5,2015-06-20,2018-03-04,inactive,phyzical
386,4387,6,2018-01-12,2018-02-26,inactive,web
387,4387,16,2020-12-18,2021-12-14,inactive,web
388,631,1,2017-07-31,2018-03-23,inactive,phyzical
389,631,2,2018-01-11,2018-02-06,inactive,phyzical
390,6502,5,2022-04-03,----------,active,web
391,6502,6,2022-10-15,----------,active,web
392,6502,5,2017-06-09,2019-03-15,inactive,web
393,1066,16,2014-01-06,2014-01-06,inactive,web
394,3651,10,2015-07-17,2015-11-14,inactive,web
395,3651,10,2007-04-25,2010-06-06,inactive,web
396,3651,12,2009-02-17,2010-04-14,inactive,web
397,2291,10,2021-07-02,2021-11-11,inactive,web
398,2291,12,2021-11-11,2021-11-11,inactive,web
399,9893,10,2013-05-11,2016-05-03,inactive,web
400,9893,12,2013-10-22,2015-06-01,inactive,web
401,9893,5,2000-06-26,2004-10-28,inactive,web
402,9893,6,2002-06-23,2002-06-24,inactive,web
403,6530,10,2008-11-11,2010-12-02,inactive,phyzical
404,6530,13,2009-01-03,2010-11-11,inactive,web
405,3952,14,2021-09-06,2022-02-26,inactive,phyzical
406,3952,15,2022-01-01,2022-02-04,inactive,phyzical
407,3952,9,2021-05-04,----------,active,phyzical
408,5972,10,2021-06-26,----------,active,phyzical
409,5972,12,2022-04-20,----------,active,web
410,4658,5,2019-04-20,2021-03-09,inactive,web
411,4658,7,2021-02-20,2021-03-02,inactive,web
412,5698,8,2022-10-25,----------,active,phyzical
413,5698,1,2021-02-04,----------,active,web
414,5382,8,2020-12-26,----------,active,phyzical
415,5382,19,2021-06-28,----------,active,web
416,8278,19,2016-07-08,2016-10-18,inactive,web
417,4807,5,2020-02-01,----------,active,web
418,4807,6,2020-07-11,2020-11-23,inactive,phyzical
419,1128,19,2015-05-25,2015-09-16,inactive,web
420,1128,20,2015-05-28,2015-07-31,inactive,phyzical
421,841,5,2013-12-02,2016-08-20,inactive,phyzical
422,1286,14,2008-07-12,2012-10-01,inactive,web
423,3796,1,2018-05-19,2018-05-27,inactive,web
424,6966,9,2004-03-24,2006-08-22,inactive,phyzical
425,6966,1,2022-08-31,----------,active,web
426,8175,14,2019-06-22,2019-06-25,inactive,phyzical
427,8175,15,2019-06-23,2019-06-23,inactive,web
428,8175,4,2017-12-31,2020-03-07,inactive,phyzical
429,7915,5,2018-12-07,2020-07-27,inactive,web
430,7915,7,2020-02-07,2020-03-06,inactive,web
431,7915,17,2016-06-10,2019-05-31,inactive,web
432,5137,10,2022-06-22,----------,active,phyzical
433,5137,11,2022-07-14,----------,active,web
434,5137,3,2010-12-03,2014-12-20,inactive,phyzical
435,4656,10,2021-10-17,----------,active,web
436,4656,11,2021-11-17,2021-11-27,inactive,phyzical
437,8666,10,2022-09-26,----------,active,web
438,8666,11,2022-12-18,----------,active,web
439,8666,5,2022-12-27,----------,active,web
440,8666,7,2022-12-30,----------,active,phyzical
441,4607,9,2022-06-27,----------,active,web
442,4607,1,2022-04-22,----------,active,web
443,4607,2,2022-07-08,----------,active,web
444,4846,8,2021-06-08,----------,active,web
445,4846,4,2019-02-14,2021-06-30,inactive,web
446,1017,9,2022-01-18,----------,active,phyzical
447,1017,10,2022-10-01,----------,active,web
448,1017,13,2022-10-09,----------,active,web
449,790,17,2005-09-28,2005-09-28,inactive,phyzical
450,1702,1,2020-11-12,----------,active,web
451,1702,4,2022-04-29,----------,active,web
452,3596,9,2017-02-23,2020-10-21,inactive,phyzical
453,3596,10,2020-05-05,2020-06-07,inactive,web
454,3596,12,2020-06-01,2020-06-07,inactive,phyzical
455,7827,10,2021-11-05,----------,active,web
456,7827,13,2021-12-18,----------,active,phyzical
457,131,19,2007-01-23,2007-06-21,inactive,phyzical
458,5301,1,2021-02-02,2021-03-06,inactive,phyzical
459,172,5,2020-11-10,----------,active,web
460,172,6,2020-12-12,2021-12-18,inactive,phyzical
461,6133,1,2022-05-10,----------,active,phyzical
462,6133,14,2015-03-07,2016-03-12,inactive,phyzical
463,95,4,2021-12-24,----------,active,web
464,6869,9,2022-06-06,----------,active,phyzical
465,6869,10,2021-07-19,----------,active,web
466,6869,12,2022-04-15,----------,active,web
467,2692,14,2021-12-09,2021-12-15,inactive,web
468,2692,15,2021-12-15,2021-12-15,inactive,phyzical
469,2692,5,2022-12-22,----------,active,phyzical
470,2692,6,2022-12-31,----------,active,web
471,7148,14,2014-09-21,2016-06-21,inactive,web
472,4938,10,2022-06-12,----------,active,phyzical
473,4938,13,2022-10-05,----------,active,phyzical
474,3164,17,2021-08-08,----------,active,phyzical
475,6704,14,2009-03-30,2009-06-04,inactive,phyzical
476,6704,15,2009-04-27,2009-04-29,inactive,web
477,6704,14,2013-01-17,2013-01-28,inactive,web
478,6704,15,2013-01-23,2013-01-23,inactive,web
479,6887,19,2019-12-03,2021-09-20,inactive,web
480,7734,14,2018-12-19,2019-05-19,inactive,web
481,1838,19,2019-10-07,----------,active,phyzical
482,1838,20,2019-10-12,2019-12-26,inactive,web
483,4808,1,2022-04-15,----------,active,phyzical
484,7707,17,2021-10-29,2021-11-25,inactive,phyzical
485,5210,17,2020-07-07,----------,active,phyzical
486,5210,14,2022-01-26,----------,active,web
487,5210,15,2022-01-02,2022-01-11,inactive,web
488,6888,1,2022-11-09,----------,active,phyzical
489,9762,10,2013-01-06,2013-03-03,inactive,web
490,9762,13,2013-03-03,2013-03-03,inactive,web
491,6311,1,2015-03-18,2019-03-22,inactive,web
492,186,10,2011-11-12,2011-12-07,inactive,web
493,186,17,2012-04-22,2015-11-09,inactive,web
494,3332,10,2022-03-16,----------,active,web
495,4568,10,2018-07-25,2021-02-19,inactive,web
496,4568,10,2022-12-24,----------,active,web
497,4568,12,2022-12-31,----------,active,web
498,3878,19,2012-05-05,2013-02-10,inactive,phyzical
499,9006,14,2016-10-26,2020-07-04,inactive,web
500,9006,15,2019-04-20,2020-01-08,inactive,phyzical
501,5565,9,2022-11-14,----------,active,web
502,7604,10,2019-11-09,2020-02-08,inactive,web
503,210,18,2014-04-29,2018-05-19,inactive,phyzical
504,210,18,2021-12-19,2021-12-28,inactive,phyzical
505,1050,10,2018-04-09,2018-06-04,inactive,phyzical
506,1050,1,2014-05-07,2015-10-13,inactive,web
507,3943,9,2018-03-01,2020-11-30,inactive,web
508,6640,10,2003-10-18,2004-01-04,inactive,web
509,6640,10,2018-08-21,2020-04-29,inactive,web
510,1099,3,2021-02-03,----------,active,web
511,3725,1,2018-11-29,2018-12-25,inactive,phyzical
512,3725,10,2020-04-29,2021-06-01,inactive,web
513,3725,11,2021-04-03,2021-06-01,inactive,phyzical
514,7032,17,2021-07-12,----------,active,phyzical
515,2488,1,2022-04-19,----------,active,web
516,2488,2,2022-11-12,----------,active,web
517,8859,4,2015-02-05,2015-02-06,inactive,phyzical
518,8879,16,2017-05-30,2020-11-23,inactive,web
519,8879,8,2017-03-28,2021-07-03,inactive,web
520,6301,10,2019-01-23,----------,active,web
521,6301,12,2020-02-28,2021-05-31,inactive,web
522,6301,19,2022-09-25,----------,active,web
523,6301,20,2022-09-25,----------,active,phyzical
524,1594,3,2019-01-11,----------,active,web
525,6511,9,2021-12-26,2021-12-26,inactive,phyzical
526,1662,5,2004-09-23,2008-12-02,inactive,web
527,1662,6,2007-08-10,2008-06-26,inactive,phyzical
528,1662,10,2010-11-12,2013-09-04,inactive,phyzical
529,1662,12,2013-03-23,2013-08-22,inactive,web
530,215,5,2014-06-08,2018-05-22,inactive,web
531,215,6,2016-04-25,2016-05-11,inactive,phyzical
532,8660,10,2019-04-12,2020-09-03,inactive,web
533,8660,12,2020-09-01,2020-09-02,inactive,web
534,8660,4,2019-02-19,----------,active,web
535,8959,10,2019-07-21,2021-07-13,inactive,web
536,5809,14,2022-03-29,----------,active,phyzical
537,5809,15,2022-04-04,----------,active,phyzical
538,5809,18,2021-11-03,----------,active,phyzical
539,7569,19,2022-03-26,----------,active,web
540,7569,20,2022-03-15,----------,active,web
541,4435,1,2008-07-15,2012-11-03,inactive,web
542,1609,10,2014-10-23,2016-06-23,inactive,web
543,3302,19,2022-11-30,----------,active,web
